ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,cum_pct,tier,flag_multimodal,flag_outliers,decision,lump_into,notes
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Liver,"Coastal, fjord",Not reported,mg/kg (dry),Haddock,104,15,1,0.9936,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Muscle,"River, stream, canal",Not reported,mg/kg (wet),River trout,105,15,1,0.9937,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Fish,Abramis brama,Gill,"River, stream, canal",Not reported,mg/kg (dry),Common bream,106,13,1,0.9938,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Abramis brama,Liver,"River, stream, canal",Not reported,mg/kg (wet),Common bream,107,13,1,0.994,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus rosmarus,Skin,Bare land and lichen/moss,Other,mg/kg (wet),Atlantic walrus,108,13,1,0.9941,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Northern shrimp,109,12,1,0.9942,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Thysanoessa inermis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,110,12,1,0.9944,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gymnocephalus cernuus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Ruffe,111,12,1,0.9945,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Gill,"River, stream, canal",Not reported,mg/kg (dry),Pikeperch,112,12,1,0.9946,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Symphodus melops,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Corkwing wrasse,113,12,1,0.9947,tail,TRUE,FALSE,,,
Aquatic,Sludge,,,,WWTP,Other,mg/kg (wet),,114,11,1,0.9949,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Euchaeta barbata,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,115,11,1,0.995,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),River trout,116,11,1,0.9951,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"River, stream, canal",Other,mg/kg (wet),River trout,117,11,1,0.9952,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Kidney,"River, stream, canal",Other,mg/kg (wet),River trout,118,11,1,0.9953,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Liver,"River, stream, canal",Other,mg/kg (wet),River trout,119,11,1,0.9954,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Liver,"River, stream, canal",Not reported,mg/kg (wet),Pikeperch,120,11,1,0.9955,tail,FALSE,FALSE,,,
Aquatic,Wastewater,,,,WWTP,Other,mg/L,,121,10,1,0.9957,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Heart,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,122,10,1,0.9958,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Worms,Arenicola marina,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),Lugworm,123,10,1,0.9959,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Algae,Fucus vesiculosus,Shoot tips,"Coastal, fjord",Not relevant,mg/kg (dry),Bladder wrack,124,9,1,0.996,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),Arctic char,125,9,1,0.996,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Molluscs,Littorina,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),,126,9,1,0.9961,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",,,,"Ocean, sea, territorial waters",Other,mg/kg (dry),,127,9,1,0.9962,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Other,mg/kg (dry),,128,8,1,0.9963,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Calanus glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,129,8,1,0.9964,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Eukronia hamata,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,130,8,1,0.9965,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo salar,Whole body,,,mg/kg (wet),Atlantic salmon,131,8,1,0.9966,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),Blue mussel,132,8,1,0.9967,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Groundwater, aquifer",Water benthos,mg/kg (dry),,133,7,1,0.9967,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Other,mg/kg (wet),,134,7,1,0.9968,tail,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"River, stream, canal","Water column, pelagic zone",mg/L,,135,7,1,0.9969,tail,FALSE,FALSE,,,
Aquatic,Porewater,,,,"Ocean, sea, territorial waters",Other,mg/kg (wet),,136,7,1,0.9969,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Merlangius merlangus,Liver,"Coastal, fjord",Not reported,mg/kg (dry),Whiting,137,7,1,0.997,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Heliometra glacialis,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,138,7,1,0.9971,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Brosme brosme,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Cusk,139,6,1,0.9972,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Pleuronectes platessa,Liver,"Coastal, fjord",Not reported,mg/kg (wet),European plaice,140,6,1,0.9972,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Pleuronectes platessa,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),European plaice,141,6,1,0.9973,tail,FALSE,TRUE,,,
